best_acc,best_loss,best_epoch,train_loss,train_acc,val_loss,val_acc,current_epoch
0.8550512931006296,0.7568657994270325,0,0.8973679542541504,0.8446666772706168,0.7568657994270325,0.8550512931006296,0
0.8571831613268172,0.7515517473220825,1,0.66612708568573,0.8631172270093646,0.7515517473220825,0.8571831613268172,1
0.8571831613268172,0.7515517473220825,1,0.5910820960998535,0.8695567868777684,0.7658212780952454,0.8561758352688381,2
0.8571831613268172,0.7515517473220825,1,0.5225419998168945,0.8787362748554775,0.7804192900657654,0.8557362750598363,3
0.8571831613268172,0.7515517473220825,1,0.45636892318725586,0.8917069693292891,0.8038586974143982,0.854798545564924,4
0.8571831613268172,0.7515517473220825,1,0.3976172208786011,0.9040329786709377,0.8342117667198181,0.8545567871502467,5
0.8571831613268172,0.7515517473220825,1,0.348822683095932,0.9154175953183855,0.8664149641990662,0.8523333443232946,6
0.8571831613268172,0.7515517473220825,1,0.3048187494277954,0.9262088042667934,0.9068021774291992,0.8502710734776088,7
0.8571831613268172,0.7515517473220825,1,0.27054721117019653,0.933919426373073,0.9441224932670593,0.8516556883539472,8
0.8571831613268172,0.7515517473220825,1,0.24103838205337524,0.9403846289089748,0.9756999015808105,0.8499084373882838,9
0.8571831613268172,0.7515517473220825,1,0.21649470925331116,0.9460000128746032,1.0102763175964355,0.8494468978473119,10
0.8571831613268172,0.7515517473220825,1,0.1966867446899414,0.9504285861424038,1.0437349081039429,0.8507033082417079,11
0.8571831613268172,0.7515517473220825,1,0.17691269516944885,0.9549157653536116,1.0858908891677856,0.8492637469427926,12
0.8571831613268172,0.7515517473220825,1,0.1629810631275177,0.9583296837125506,1.1118254661560059,0.8487545906475612,13
0.8571831613268172,0.7515517473220825,1,0.15253999829292297,0.9606190601076399,1.1415190696716309,0.8485457985741751,14
0.8571831613268172,0.7515517473220825,1,0.14137768745422363,0.9637362747873579,1.17530357837677,0.8488168611526489,15
0.8571831613268172,0.7515517473220825,1,0.13211283087730408,0.9660659434454781,1.1800986528396606,0.8492783989225116,16
0.8571831613268172,0.7515517473220825,1,0.12674225866794586,0.967322354384831,1.2117846012115479,0.8470293162890843,17
0.8571831613268172,0.7515517473220825,1,0.1231914833188057,0.9677875572613307,1.233229160308838,0.8471941498347692,18
0.8571831613268172,0.7515517473220825,1,0.11588063091039658,0.9698461623873029,1.2609386444091797,0.8479707061222621,19
0.8571831613268172,0.7515517473220825,1,0.10958290100097656,0.9717912208693368,1.2780743837356567,0.8478278500011989,20
0.8571831613268172,0.7515517473220825,1,0.10728608816862106,0.9718315146309989,1.294532299041748,0.8478498283113752,21
0.8571831613268172,0.7515517473220825,1,0.10689989477396011,0.9719816964013236,1.3001601696014404,0.8476227211271014,22
0.8571831613268172,0.7515517473220825,1,0.10232707858085632,0.9734615504401071,1.3498786687850952,0.8482344431195941,23
0.8571831613268172,0.7515517473220825,1,0.09906122833490372,0.9742381096567426,1.3581959009170532,0.8473919524465289,24
0.8571831613268172,0.7515517473220825,1,0.09640167653560638,0.9747912216186524,1.3769898414611816,0.8469121000426156,25
0.8571831613268172,0.7515517473220825,1,0.09741561859846115,0.9744359081132071,1.3902966976165771,0.8480073373658317,26
0.8571831613268172,0.7515517473220825,1,0.09737292677164078,0.9741172283036368,1.3912134170532227,0.8464505607060023,27
0.8571831613268172,0.7515517473220825,1,0.09492551535367966,0.9749926872253418,1.418186902999878,0.8472307802609035,28
0.8571831613268172,0.7515517473220825,1,0.0946439653635025,0.9750915894508362,1.4221118688583374,0.8478205233982631,29
